,0
470,E
471,F
472,F
473,F
474,C
475,F
476,D
477,F
478,A
479,C
480,E
481,C
482,B
483,A
484,F
485,D
486,A
487,E
488,B
489,C
490,E
491,E
492,E
493,E
494,F
495,A
496,A
497,F
498,A
499,F
500,F
501,F
502,F
503,C
504,F
505,A
506,F
507,D
508,B
509,B
510,E
511,F
512,A
513,F
514,A
515,C
516,C
517,C
518,C
519,F
520,A
521,B
522,F
523,A
524,B
525,C
526,C
527,F
528,B
529,A
530,F
531,A
532,B
533,F
534,E
535,B
536,C
537,F
538,C
539,E
540,D
541,F
542,C
543,B
544,E
545,A
546,E
547,A
548,A
549,E
550,B
551,C
552,A
553,F
554,F
555,B
556,F
557,B
558,E
559,D
560,A
561,D
562,F
563,B
564,A
565,A
566,A
567,F
568,A
569,C
570,C
571,C
572,A
573,E
574,E
575,A
576,A
577,C
578,A
579,C
580,C
581,A
582,A
583,C
584,C
585,F
586,C
587,D
588,A
589,A
590,D
591,C
592,F
593,F
594,D
595,A
596,A
597,F
598,C
599,A
600,E
601,D
602,B
603,A
604,E
605,C
606,F
607,C
608,B
609,C
610,D
611,A
612,B
613,B
614,F
615,F
616,B
617,A
618,F
619,A
620,C
621,A
622,E
623,F
624,D
625,F
626,F
627,E
628,E
629,C
630,F
631,C
632,C
633,F
634,E
635,C
636,A
637,A
638,A
639,B
640,A
641,A
642,C
643,C
644,A
645,A
646,E
647,C
648,D
649,D
650,F
651,F
652,F
653,E
654,D
655,F
656,A
657,B
658,D
659,C
660,E
661,A
662,F
663,F
664,C
665,C
666,E
667,F
668,C
669,C
670,E
671,C
672,F
673,D
674,D
675,C
676,E
677,A
678,F
679,A
680,D
681,B
682,F
683,F
684,C
685,A
686,F
687,A
688,C
689,A
690,C
691,C
692,F
693,C
694,A
695,E
696,F
697,D
698,F
699,A
700,F
701,B
702,A
703,A
704,F
705,A
706,F
707,F
708,A
709,A
710,C
711,C
712,A
713,A
714,E
715,D
716,C
717,C
718,B
719,C
720,A
721,C
722,F
723,A
724,D
725,A
726,A
727,C
728,C
729,E
730,B
731,B
732,B
733,A
734,F
735,F
736,F
737,C
738,A
739,A
740,F
741,B
742,A
743,E
744,A
745,A
746,E
747,F
748,A
749,A
750,C
751,C
752,F
753,A
754,F
755,C
756,D
757,E
758,E
759,A
760,C
761,A
762,B
763,E
764,D
765,F
766,F
767,F
768,A
769,A
770,C
771,C
772,A
773,A
774,A
775,F
776,C
777,A
778,C
779,C
780,F
781,F
782,A
783,F
784,E
785,F
786,C
787,C
788,E
789,B
790,F
791,D
792,B
793,C
794,A
795,C
796,D
797,A
798,C
799,A
800,D
801,C
802,D
803,C
804,B
805,F
806,C
807,A
808,D
809,A
810,B
811,F
812,F
813,B
814,B
815,C
816,E
817,C
818,B
819,C
820,A
821,F
822,E
823,A
824,E
825,F
826,E
827,A
828,C
829,D
830,B
831,C
832,C
833,C
834,F
835,C
836,F
837,E
838,F
839,E
840,B
841,A
842,C
843,A
844,A
845,A
846,A
847,C
848,F
849,E
850,E
851,C
852,B
853,F
854,C
855,A
856,A
857,D
858,A
859,A
860,B
861,C
862,C
863,C
864,A
865,C
866,C
867,B
868,A
869,F
870,B
871,B
872,A
873,F
874,C
875,A
876,F
877,F
878,D
879,A
880,E
881,F
882,E
883,F
884,F
885,B
886,E
887,A
888,E
889,C
890,F
891,F
892,C
893,C
894,A
895,F
896,C
897,C
898,F
899,F
900,F
901,C
902,F
903,C
904,B
905,E
906,B
907,D
908,A
909,D
910,C
911,A
912,A
913,A
914,B
915,A
916,E
917,B
918,F
919,C
920,F
921,C
922,B
923,F
924,C
925,A
926,B
927,C
928,A
929,A
930,C
931,F
932,B
933,C
934,C
935,A
936,F
937,F
938,A
939,C
940,F
941,A
942,A
943,F
944,C
945,F
946,B
947,A
948,B
949,A
950,A
951,C
952,E
953,F
954,C
955,C
956,F
957,E
958,B
959,A
960,C
961,B
962,C
963,E
964,F
965,C
966,A
967,C
968,C
969,F
970,F
971,E
972,F
973,C
974,F
975,A
976,A
977,E
978,F
979,F
980,C
981,A
982,B
983,C
984,E
985,C
986,C
987,A
988,A
989,A
990,C
991,A
992,A
993,F
994,A
995,E
996,F
997,A
998,C
999,B
1000,B
1001,F
1002,E
1003,B
1004,F
1005,F
1006,A
1007,F
1008,A
1009,F
1010,B
1011,F
1012,E
1013,F
1014,F
1015,E
1016,A
1017,C
1018,F
1019,E
1020,C
1021,F
1022,C
1023,A
1024,A
1025,D
1026,B
1027,F
1028,B
1029,C
1030,B
1031,B
1032,C
1033,C
1034,B
1035,F
1036,F
1037,B
1038,F
1039,E
1040,A
1041,A
1042,F
1043,B
1044,F
1045,D
1046,A
1047,F
1048,C
1049,E
1050,C
1051,E
1052,E
1053,A
1054,C
1055,F
1056,D
1057,E
1058,B
1059,E
1060,C
1061,C
1062,F
1063,E
1064,F
1065,F
1066,F
1067,E
1068,F
1069,C
1070,A
1071,F
1072,E
1073,C
1074,C
1075,C
1076,B
1077,F
1078,F
1079,C
1080,C
1081,D
1082,A
1083,F
1084,D
1085,A
1086,A
1087,D
1088,F
1089,D
1090,A
1091,C
1092,C
1093,D
1094,A
1095,D
1096,A
1097,A
1098,E
1099,F
1100,A
1101,E
1102,B
1103,A
1104,E
1105,A
1106,B
1107,A
1108,E
1109,C
1110,B
1111,F
1112,F
1113,A
1114,F
1115,C
1116,F
1117,A
1118,D
1119,A
1120,C
1121,A
1122,B
1123,C
1124,A
1125,C
1126,D
1127,C
1128,D
1129,F
1130,A
1131,C
1132,C
1133,C
1134,E
1135,C
1136,A
1137,A
1138,F
1139,A
1140,F
1141,D
1142,A
1143,E
1144,F
1145,A
1146,A
1147,C
1148,A
1149,C
1150,F
1151,A
1152,E
1153,A
1154,A
1155,A
1156,F
1157,B
1158,F
1159,F
1160,D
1161,F
1162,C
1163,D
1164,B
1165,F
1166,A
1167,D
1168,C
1169,E
1170,C
1171,A
1172,F
1173,A
1174,F
1175,A
1176,A
1177,C
1178,C
1179,A
1180,F
1181,C
1182,C
1183,A
1184,D
1185,C
1186,B
1187,C
1188,A
1189,A
1190,A
1191,C
1192,A
1193,F
1194,C
1195,C
1196,C
1197,A
1198,F
1199,F
1200,C
1201,B
1202,F
1203,F
1204,F
1205,E
1206,A
1207,D
1208,F
1209,A
1210,C
1211,A
1212,F
1213,D
1214,A
1215,A
1216,B
1217,F
1218,E
1219,E
1220,F
1221,A
1222,C
1223,F
1224,C
1225,A
1226,C
1227,E
1228,C
1229,D
1230,C
1231,F
1232,A
1233,C
1234,A
1235,F
1236,F
1237,B
1238,F
1239,F
1240,C
1241,D
1242,A
1243,A
1244,C
1245,C
1246,B
1247,C
1248,D
1249,A
1250,B
1251,C
1252,F
1253,D
1254,C
1255,F
1256,F
1257,F
1258,C
1259,C
1260,D
1261,B
1262,F
1263,D
1264,A
1265,B
1266,F
1267,C
1268,D
1269,A
1270,D
1271,C
1272,C
1273,E
1274,C
1275,D
1276,A
1277,D
1278,C
1279,F
1280,F
1281,C
1282,C
1283,A
1284,B
1285,A
1286,A
1287,F
1288,F
1289,A
1290,A
1291,A
1292,F
1293,D
1294,B
1295,F
1296,C
1297,F
1298,A
1299,D
1300,F
1301,C
1302,E
1303,C
1304,C
1305,F
1306,F
1307,C
1308,C
1309,A
1310,E
1311,B
1312,D
1313,B
1314,D
1315,C
1316,A
1317,D
1318,C
1319,C
1320,C
1321,E
1322,B
1323,C
1324,F
1325,A
1326,D
1327,E
1328,E
1329,A
1330,A
1331,F
1332,D
1333,C
1334,B
1335,C
1336,C
1337,C
1338,E
1339,F
1340,F
1341,A
1342,A
1343,C
1344,C
1345,D
1346,F
1347,F
1348,A
1349,C
1350,D
1351,D
1352,F
1353,F
1354,F
1355,A
1356,F
1357,C
1358,C
1359,C
1360,F
1361,E
1362,B
1363,F
1364,A
1365,F
1366,A
1367,C
1368,D
1369,E
1370,E
1371,A
1372,E
1373,A
1374,C
1375,E
1376,A
1377,A
1378,B
1379,F
1380,D
1381,C
1382,B
1383,B
1384,A
1385,D
1386,E
1387,C
1388,C
1389,B
1390,F
1391,B
1392,F
1393,A
1394,C
1395,F
1396,C
1397,C
1398,A
1399,C
1400,C
1401,C
1402,F
1403,E
1404,B
1405,A
1406,B
1407,E
1408,A
1409,B
1410,C
1411,B
1412,F
1413,D
1414,E
1415,D
1416,A
1417,B
1418,D
1419,E
1420,C
1421,C
1422,F
1423,A
1424,C
1425,C
1426,A
1427,F
1428,D
1429,A
1430,F
1431,B
1432,F
1433,A
1434,D
1435,C
1436,C
1437,A
1438,D
1439,D
1440,F
1441,D
1442,C
1443,E
1444,F
1445,A
1446,A
1447,C
1448,D
1449,B
1450,F
1451,E
1452,A
1453,F
1454,F
1455,D
1456,F
1457,A
1458,F
1459,A
1460,C
1461,D
1462,B
1463,F
1464,B
1465,A
1466,E
1467,A
1468,A
1469,F
1470,F
1471,F
1472,C
1473,A
1474,B
1475,A
1476,F
1477,C
1478,F
1479,A
1480,C
1481,C
1482,A
1483,C
1484,D
1485,A
1486,F
1487,F
1488,A
1489,F
1490,E
1491,A
1492,C
1493,A
1494,E
1495,A
1496,E
1497,A
1498,F
1499,B
1500,F
1501,E
1502,F
1503,B
1504,F
1505,C
1506,F
1507,D
1508,A
1509,F
1510,C
1511,A
1512,A
1513,C
1514,B
1515,D
1516,E
1517,A
1518,C
1519,F
1520,F
1521,B
1522,A
1523,A
1524,A
1525,C
1526,D
1527,D
1528,F
1529,C
1530,B
1531,F
1532,D
1533,F
1534,C
1535,C
1536,A
1537,C
1538,F
1539,F
1540,D
1541,C
1542,F
1543,D
